iter	MultiClass
0	2.042570275
1	2.005677117
2	1.976814946
3	1.952394442
4	1.921648368
5	1.896671571
6	1.876777415
7	1.847663926
8	1.825563079
9	1.80226577
10	1.779068195
11	1.755373405
12	1.735880205
13	1.717597359
14	1.698449936
15	1.683362815
16	1.668634202
17	1.648591488
18	1.63630111
19	1.61836758
20	1.60079837
21	1.584442588
22	1.567428863
23	1.552853536
24	1.533213641
25	1.517920506
26	1.506338121
27	1.493439908
28	1.480339753
29	1.465410258
30	1.454245464
31	1.44291007
32	1.42999159
33	1.417443756
34	1.408066019
35	1.396812481
36	1.388136516
37	1.378480059
38	1.367932869
39	1.354122969
40	1.344705312
41	1.332537001
42	1.322772604
43	1.312849698
44	1.306035874
45	1.298512262
46	1.289333939
47	1.281436031
48	1.272536139
49	1.26384683
50	1.252978549
51	1.244646557
52	1.23578048
53	1.228608107
54	1.219398232
55	1.212628411
56	1.204515954
57	1.193270196
58	1.184303223
59	1.176867361
60	1.167319248
61	1.161992217
62	1.155533781
63	1.147785768
64	1.140294724
65	1.13187928
66	1.125334211
67	1.118383884
68	1.112520238
69	1.10160059
70	1.094504656
71	1.088865396
72	1.081631399
73	1.076705392
74	1.072022539
75	1.064270392
76	1.057876657
77	1.050871747
78	1.044764706
79	1.040017372
80	1.03295476
81	1.026737182
82	1.01875199
83	1.01246099
84	1.004678135
85	0.9995125007
86	0.9948848417
87	0.9908675739
88	0.9836642682
89	0.9797289396
90	0.9750081132
91	0.9652404597
92	0.9613298524
93	0.9536374268
94	0.9487707144
95	0.9447149852
96	0.9373050819
97	0.9329760646
98	0.9268450778
99	0.9193077292
100	0.9142152382
101	0.9081762051
102	0.9041913134
103	0.8990423645
104	0.892864867
105	0.8855620345
106	0.8803029044
107	0.8747811274
108	0.8700610728
109	0.8662628175
110	0.8621335443
111	0.8573326936
112	0.8532018841
113	0.8484072631
114	0.842077409
115	0.8354283483
116	0.8287917805
117	0.8235081442
118	0.8167173296
119	0.8109216563
120	0.8076007174
121	0.8017049092
122	0.7975505819
123	0.7940240077
124	0.7878916501
125	0.7853214447
126	0.782078509
127	0.7795888993
128	0.7773054482
129	0.7710861421
130	0.7668242204
131	0.7641419264
132	0.759083003
133	0.7560961099
134	0.7508374286
135	0.746981773
136	0.7427601795
137	0.7395290899
138	0.7365324479
139	0.7333313316
140	0.7299452791
141	0.7248881543
142	0.72119855
143	0.7182397032
144	0.7133678342
145	0.7089028931
146	0.7041830169
147	0.6996147333
148	0.6942528931
149	0.6914657672
150	0.6888668312
151	0.6847151065
152	0.6809589683
153	0.6766137427
154	0.673545431
155	0.6684119695
156	0.6650750831
157	0.662367895
158	0.6598085414
159	0.6556941611
160	0.6504058815
161	0.6472966705
162	0.6425095778
163	0.6397559882
164	0.6361587918
165	0.6348882278
166	0.6309114019
167	0.6284600258
168	0.625998053
169	0.6236285625
170	0.6211367968
171	0.6166793155
172	0.6135357576
173	0.6113817922
174	0.6092516923
175	0.606670304
176	0.6031538958
177	0.600224254
178	0.5972211793
179	0.5947340712
180	0.5930086727
181	0.5893003486
182	0.5855229887
183	0.5836834365
184	0.5808857867
185	0.5780281942
186	0.5750823339
187	0.5727628165
188	0.5711320432
189	0.5677722813
190	0.5650669581
191	0.5627021099
192	0.560361632
193	0.5576282197
194	0.5554646937
195	0.5525895821
196	0.5503572735
197	0.5489894475
198	0.5458585677
199	0.5437139189
200	0.5427672755
201	0.5402757985
202	0.5381817586
203	0.5351873602
204	0.532248693
205	0.5288226439
206	0.5267985389
207	0.5246759665
208	0.5223615512
209	0.520370999
210	0.5186418589
211	0.5163922608
212	0.5147751416
213	0.5127293018
214	0.5105379643
215	0.5089517339
216	0.5066135567
217	0.5043069744
218	0.5027050786
219	0.4995724467
220	0.4980209009
221	0.4953566713
222	0.4924461744
223	0.490568762
224	0.4896673172
225	0.4874756897
226	0.4856689059
227	0.4830748507
228	0.4820423301
229	0.4801017537
230	0.4790115193
231	0.4769788477
232	0.4755595948
233	0.4733899876
234	0.4711919555
235	0.4688474893
236	0.4665446169
237	0.4648116941
238	0.4633926828
239	0.4607137782
240	0.4585809699
241	0.4562917216
242	0.4549195447
243	0.4532701789
244	0.4512759512
245	0.4488525906
246	0.4476113905
247	0.4462592357
248	0.4445980679
249	0.4424412983
250	0.4403326708
