iter	Passed	Remaining
0	54	54545
1	62	30968
2	69	22951
3	74	18618
4	80	15972
5	85	14183
6	91	12991
7	97	12045
8	102	11270
9	108	10741
10	113	10217
11	118	9776
12	125	9542
13	127	8990
14	132	8714
15	139	8566
16	145	8411
17	151	8289
18	154	7981
19	160	7843
20	165	7699
21	175	7793
22	180	7671
23	186	7580
24	192	7500
25	197	7391
26	202	7303
27	208	7224
28	213	7141
29	218	7076
30	224	7003
31	230	6968
32	236	6939
33	242	6891
34	248	6839
35	254	6811
36	257	6705
37	262	6654
38	273	6739
39	279	6697
40	286	6702
41	293	6687
42	298	6648
43	303	6600
44	308	6551
45	313	6511
46	320	6492
47	324	6442
48	330	6404
49	335	6367
50	342	6374
51	350	6395
52	355	6359
53	361	6324
54	367	6317
55	372	6285
56	383	6337
57	388	6305
58	393	6269
59	398	6244
60	403	6210
61	408	6176
62	410	6104
63	416	6092
64	421	6063
65	429	6078
66	435	6064
67	440	6037
68	446	6017
69	451	6004
70	456	5979
71	463	5974
72	468	5947
73	477	5975
74	482	5955
75	487	5928
76	492	5909
77	498	5886
78	502	5862
79	509	5856
80	514	5835
81	519	5814
82	529	5845
83	534	5826
84	539	5812
85	545	5799
86	552	5796
87	557	5775
88	563	5762
89	568	5743
90	576	5757
91	583	5755
92	592	5782
93	598	5767
94	604	5756
95	610	5748
96	615	5733
97	622	5730
98	627	5715
99	633	5697
100	639	5690
101	646	5690
102	652	5679
103	658	5672
104	663	5655
105	669	5650
106	675	5640
107	681	5626
108	687	5617
109	692	5600
110	697	5583
111	704	5587
112	709	5572
113	715	5556
114	722	5559
115	727	5546
116	733	5535
117	738	5521
118	743	5503
119	748	5489
120	753	5472
121	759	5469
122	765	5458
123	771	5447
124	776	5433
125	781	5424
126	786	5408
127	791	5390
128	799	5399
129	804	5385
130	809	5372
131	820	5394
132	825	5382
133	832	5377
134	837	5364
135	843	5357
136	848	5344
137	858	5361
138	867	5373
139	874	5369
140	881	5372
141	887	5359
142	893	5354
143	900	5350
144	905	5340
145	918	5374
146	923	5361
147	930	5354
148	935	5340
149	941	5334
150	948	5330
151	953	5318
152	958	5305
153	964	5298
154	970	5292
155	976	5284
156	981	5271
157	986	5258
158	993	5256
159	998	5241
160	1003	5229
161	1013	5242
162	1018	5230
163	1023	5217
164	1049	5309
165	1086	5460
166	1121	5595
167	1185	5870
168	1261	6200
169	1307	6381
170	1354	6565
171	1396	6720
172	1447	6920
173	1493	7089
174	1510	7122
175	1518	7108
176	1523	7085
177	1532	7075
178	1538	7054
179	1553	7077
180	1630	7379
181	1695	7622
182	1728	7715
183	1758	7797
184	1791	7891
185	1820	7967
186	1866	8114
187	1902	8215
188	1937	8311
189	1967	8388
190	2006	8497
191	2016	8486
192	2023	8461
193	2029	8432
194	2036	8408
195	2042	8379
196	2048	8351
197	2054	8323
198	2060	8295
199	2068	8272
200	2074	8244
201	2080	8217
202	2086	8190
203	2099	8190
204	2105	8165
205	2111	8137
206	2118	8114
207	2124	8088
208	2131	8066
209	2137	8042
210	2143	8016
211	2151	7996
212	2157	7971
213	2163	7947
214	2169	7922
215	2175	7896
216	2181	7871
217	2189	7852
218	2199	7844
219	2205	7819
220	2212	7799
221	2218	7775
222	2225	7753
223	2232	7735
224	2238	7711
225	2245	7691
226	2251	7667
227	2257	7645
228	2264	7624
229	2270	7601
230	2274	7572
231	2282	7554
232	2288	7534
233	2298	7525
234	2313	7532
235	2319	7508
236	2326	7490
237	2332	7467
238	2338	7444
239	2344	7423
240	2349	7399
241	2355	7378
242	2361	7356
243	2366	7333
244	2373	7314
245	2379	7291
246	2384	7269
247	2389	7246
248	2396	7228
249	2408	7224
250	2413	7202
251	2419	7182
252	2425	7161
253	2430	7139
254	2436	7119
255	2443	7100
256	2448	7079
257	2455	7061
258	2460	7040
259	2466	7019
260	2473	7003
261	2478	6982
262	2484	6961
263	2489	6941
264	2496	6925
265	2503	6908
266	2509	6888
267	2514	6868
268	2522	6854
269	2527	6833
270	2533	6814
271	2539	6795
272	2544	6775
273	2550	6758
274	2556	6738
275	2561	6719
276	2568	6705
277	2574	6685
278	2580	6669
279	2590	6661
280	2598	6649
281	2604	6631
282	2610	6614
283	2617	6599
284	2623	6580
285	2633	6574
286	2639	6556
287	2645	6540
288	2651	6524
289	2657	6507
290	2665	6493
291	2670	6474
292	2679	6466
293	2685	6447
294	2690	6429
295	2696	6413
296	2703	6399
297	2709	6382
298	2715	6366
299	2721	6349
300	2728	6335
301	2734	6320
302	2746	6317
303	2751	6299
304	2756	6281
305	2762	6266
306	2767	6247
307	2773	6230
308	2778	6214
309	2783	6196
310	2789	6180
311	2795	6164
312	2800	6147
313	2806	6130
314	2811	6114
315	2817	6099
316	2823	6082
317	2828	6066
318	2833	6049
319	2842	6040
320	2847	6023
321	2852	6006
322	2858	5991
323	2863	5974
324	2869	5960
325	2876	5946
326	2881	5930
327	2887	5916
328	2893	5900
329	2897	5883
330	2904	5871
331	2912	5860
332	2918	5846
333	2924	5830
334	2929	5815
335	2936	5802
336	2941	5786
337	2946	5771
338	2956	5765
339	2962	5749
340	2968	5736
341	2973	5720
342	2978	5705
343	2985	5693
344	2990	5678
345	2995	5662
346	3001	5647
347	3008	5636
348	3015	5625
349	3021	5611
350	3027	5597
351	3034	5585
352	3039	5570
353	3044	5556
354	3051	5543
355	3056	5528
356	3066	5523
357	3072	5509
358	3077	5494
359	3084	5483
360	3089	5469
361	3094	5454
362	3101	5442
363	3106	5427
364	3111	5413
365	3116	5399
366	3123	5386
367	3129	5374
368	3134	5360
369	3139	5345
370	3147	5335
371	3152	5321
372	3157	5307
